Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
33080,Wyoming,US,2020-02-10,0.0,0.0
34243,Gibraltar,United Kingdom,2020-03-04,1.0,0.0
23725,no_value,Saint Vincent and the Grenadines,2020-02-03,0.0,0.0
29953,Mississippi,US,2020-04-15,3360.0,122.0
28904,Iowa,US,2020-03-23,105.0,0.0
32668,Virginia,US,2020-03-25,396.0,9.0
33224,no_value,Uganda,2020-03-11,0.0,0.0
22727,no_value,Philippines,2020-03-02,3.0,1.0
3573,no_value,Brunei,2020-02-29,0.0,0.0
10099,no_value,Congo (Brazzaville),2020-03-28,4.0,0.0
14948,no_value,Guatemala,2020-02-04,0.0,0.0
30574,New Jersey,US,2020-02-12,0.0,0.0
13183,Guadeloupe,France,2020-04-03,130.0,7.0
28735,Indiana,US,2020-01-28,0.0,0.0
29999,Missouri,US,2020-02-07,0.0,0.0
21821,no_value,North Macedonia,2020-03-08,3.0,0.0
32903,West Virginia,US,2020-04-01,191.0,1.0
22148,no_value,Pakistan,2020-02-22,0.0,0.0
21442,no_value,Nicaragua,2020-01-31,0.0,0.0
5828,no_value,Central African Republic,2020-02-04,0.0,0.0
27373,Arkansas,US,2020-02-03,0.0,0.0
965,Australian Capital Territory,Australia,2020-03-14,1.0,0.0
31767,Rhode Island,US,2020-04-05,922.0,25.0
19574,no_value,Mauritania,2020-04-10,7.0,1.0
10492,no_value,Croatia,2020-01-25,0.0,0.0
12201,no_value,Eritrea,2020-01-24,0.0,0.0
23980,no_value,Sao Tome and Principe,2020-03-01,0.0,0.0
30010,Missouri,US,2020-02-18,0.0,0.0
15626,no_value,Honduras,2020-01-29,0.0,0.0
30842,New York,US,2020-03-23,20884.0,158.0
17250,no_value,Kenya,2020-02-26,0.0,0.0
6207,Anhui,China,2020-03-12,990.0,6.0
30698,New Mexico,US,2020-02-22,0.0,0.0
29090,Kentucky,US,2020-02-10,0.0,0.0
19210,no_value,Maldives,2020-03-19,13.0,0.0
3500,no_value,Brazil,2020-04-10,19638.0,1057.0
13648,Reunion,France,2020-04-12,389.0,0.0
8020,Jiangsu,China,2020-03-01,631.0,0.0
11030,Faroe Islands,Denmark,2020-04-16,184.0,0.0
10997,Faroe Islands,Denmark,2020-03-14,9.0,0.0
8001,Jiangsu,China,2020-02-11,515.0,0.0
20443,no_value,Mozambique,2020-02-27,0.0,0.0
12816,no_value,Finland,2020-03-09,30.0,0.0
2801,no_value,Belize,2020-03-26,2.0,0.0
16922,no_value,Japan,2020-03-11,639.0,15.0
14257,no_value,Gambia,2020-01-28,0.0,0.0
13384,Mayotte,France,2020-03-07,0.0,0.0
159,no_value,Albania,2020-03-06,0.0,0.0
7007,Guizhou,China,2020-03-14,146.0,2.0
13920,St Martin,France,2020-02-02,0.0,0.0
